service,usage,status,timestamp
Electricity,1100.92,Non-Operational,2024-11-25 09:26:26
Water,9623.54,Partially Operational,2024-11-25 09:26:31
Water,2594.61,Operational,2024-11-25 09:26:36
Water,6131.51,Non-Operational,2024-11-25 09:26:41
Water,7830.53,Operational,2024-11-25 09:26:46
Water,5519.53,Non-Operational,2024-11-25 09:26:51
Waste Management,1355.86,Operational,2024-11-25 09:26:56
Water,3784.22,Operational,2024-11-25 09:27:01
Electricity,8250.56,Operational,2024-11-25 09:27:06
Electricity,5884.03,Partially Operational,2024-11-25 09:27:12
Waste Management,6939.79,Operational,2024-11-25 09:27:17
Water,7371.75,Operational,2024-11-25 09:27:22
Electricity,6862.13,Partially Operational,2024-11-25 09:27:27
Water,4566.88,Partially Operational,2024-11-25 09:27:32
Waste Management,4602.66,Operational,2024-11-25 09:27:37
Water,4106.74,Operational,2024-11-25 09:27:42
Water,3495.72,Non-Operational,2024-11-25 09:27:47
Water,454.86,Operational,2024-11-25 09:27:52
Water,5677.77,Non-Operational,2024-11-25 09:27:57
Waste Management,6102.34,Non-Operational,2024-11-25 09:28:02
Electricity,5754.91,Non-Operational,2024-11-25 09:28:07
Waste Management,2268.1,Non-Operational,2024-11-25 09:28:12
Electricity,4279.05,Operational,2024-11-25 09:28:17
Waste Management,7507.81,Partially Operational,2024-11-25 09:28:22
Waste Management,6484.33,Partially Operational,2024-11-25 09:28:27
Electricity,9872.34,Partially Operational,2024-11-25 09:28:32
Water,4511.9,Partially Operational,2024-11-25 09:28:37
Water,8865.56,Operational,2024-11-25 09:28:42
Electricity,9822.89,Operational,2024-11-25 09:28:47
Waste Management,5248.13,Partially Operational,2024-11-25 09:28:52
Water,8255.65,Operational,2024-11-25 09:28:57
Water,8914.24,Partially Operational,2024-11-25 09:29:02
Waste Management,6616.51,Non-Operational,2024-11-25 09:29:07
Waste Management,1487.29,Operational,2024-11-25 09:29:12
Electricity,1584.63,Non-Operational,2024-11-25 09:29:17
Waste Management,5894.03,Operational,2024-11-25 09:29:22
Water,9451.26,Operational,2024-11-25 09:29:27
Waste Management,1883.36,Operational,2024-11-25 09:29:32
Water,3720.5,Partially Operational,2024-11-25 09:29:37
Electricity,6901.23,Operational,2024-11-25 09:29:42
Waste Management,7541.91,Operational,2024-11-25 09:29:47
Water,6271.39,Partially Operational,2024-11-25 09:29:52
Electricity,4914.15,Partially Operational,2024-11-25 09:29:57
Water,8630.23,Partially Operational,2024-11-25 09:30:02
Waste Management,9779.78,Non-Operational,2024-11-25 09:30:07
Waste Management,626.4,Non-Operational,2024-11-25 09:30:12
Water,8568.95,Partially Operational,2024-11-25 09:30:17
Waste Management,3347.4,Partially Operational,2024-11-25 09:30:23
Waste Management,8376.35,Partially Operational,2024-11-25 09:30:28
Electricity,5741.24,Non-Operational,2024-11-25 09:30:33
Waste Management,7267.89,Operational,2024-11-25 09:30:38
Water,617.04,Operational,2024-11-25 09:30:43
Waste Management,6240.06,Operational,2024-11-25 09:30:48
Electricity,8749.81,Partially Operational,2024-11-25 09:30:53
Water,7124.9,Partially Operational,2024-11-25 09:30:58
Waste Management,8832.61,Operational,2024-11-25 09:31:03
Water,4878.46,Partially Operational,2024-11-25 09:31:08
Electricity,2813.88,Non-Operational,2024-11-25 09:31:13
Electricity,6854.59,Partially Operational,2024-11-25 09:31:18
Electricity,3737.37,Operational,2024-11-25 09:31:23
Electricity,1559.29,Non-Operational,2024-11-25 09:31:28
Electricity,2238.47,Non-Operational,2024-11-25 09:31:33
Electricity,9591.11,Operational,2024-11-25 09:31:38
Electricity,1340.68,Non-Operational,2024-11-25 09:31:43
Waste Management,723.07,Operational,2024-11-25 09:31:48
Electricity,8874.77,Operational,2024-11-25 09:31:53
Waste Management,1417.23,Partially Operational,2024-11-25 09:31:58
Electricity,4980.16,Non-Operational,2024-11-25 09:32:03
Waste Management,9194.55,Operational,2024-11-25 09:32:08
Water,4379.71,Operational,2024-11-25 09:32:13
Water,6815.3,Partially Operational,2024-11-25 09:32:18
Electricity,5625.71,Operational,2024-11-25 09:32:23
Waste Management,442.67,Operational,2024-11-25 09:32:28
Electricity,7683.44,Partially Operational,2024-11-25 09:32:33
Electricity,5289.09,Non-Operational,2024-11-25 09:32:38
Electricity,6217.62,Non-Operational,2024-11-25 09:32:43
Electricity,2898.6,Partially Operational,2024-11-25 09:32:48
Electricity,6164.87,Operational,2024-11-25 09:32:53
Waste Management,9987.09,Non-Operational,2024-11-25 09:32:58
Water,5138.21,Partially Operational,2024-11-25 09:33:03
Waste Management,4784.84,Non-Operational,2024-11-25 09:33:08
Water,5295.15,Partially Operational,2024-11-25 09:33:13
Waste Management,7434.12,Operational,2024-11-25 09:33:18
Electricity,689.64,Non-Operational,2024-11-25 09:33:23
Electricity,9332.1,Partially Operational,2024-11-25 09:33:28
Water,2366.38,Operational,2024-11-25 09:33:33
Water,6028.47,Non-Operational,2024-11-25 09:33:38
Electricity,5334.83,Non-Operational,2024-11-25 09:33:43
Electricity,2181.91,Partially Operational,2024-11-25 09:33:48
Waste Management,9583.41,Operational,2024-11-25 09:33:53
Water,7599.98,Operational,2024-11-25 09:33:58
Water,859.88,Non-Operational,2024-11-25 09:34:03
Water,7574.36,Non-Operational,2024-11-25 09:34:08
Electricity,3045.77,Operational,2024-11-25 09:34:13
Electricity,8991.35,Partially Operational,2024-11-25 09:34:18
Waste Management,9660.44,Non-Operational,2024-11-25 09:34:23
Electricity,138.31,Non-Operational,2024-11-25 09:34:28
Waste Management,5647.33,Partially Operational,2024-11-25 09:34:33
Electricity,6655.89,Non-Operational,2024-11-25 09:34:38
Waste Management,742.08,Non-Operational,2024-11-25 09:34:43
Waste Management,1276.75,Partially Operational,2024-11-25 09:34:48
Electricity,224.19,Operational,2024-11-25 09:34:53
Water,9204.19,Operational,2024-11-25 09:34:58
Electricity,2681.17,Partially Operational,2024-11-25 09:35:03
Water,4573.19,Operational,2024-11-25 09:35:08
Water,3492.85,Partially Operational,2024-11-25 09:35:13
Waste Management,3071.74,Operational,2024-11-25 09:35:18
Electricity,833.78,Non-Operational,2024-11-25 09:35:24
Waste Management,6026.99,Partially Operational,2024-11-25 09:35:29
Water,6626.37,Non-Operational,2024-11-25 09:35:34
Electricity,4360.5,Operational,2024-11-25 09:35:39
Waste Management,8807.04,Partially Operational,2024-11-25 09:35:44
Electricity,160.3,Operational,2024-11-25 09:35:49
Water,147.37,Operational,2024-11-25 09:35:54
Electricity,9757.47,Non-Operational,2024-11-25 09:35:59
Waste Management,8992.4,Partially Operational,2024-11-25 09:36:04
Waste Management,579.94,Non-Operational,2024-11-25 09:36:09
Electricity,3527.1,Non-Operational,2024-11-25 09:36:14
Water,5194.18,Partially Operational,2024-11-25 09:36:19
Waste Management,1619.79,Operational,2024-11-25 09:36:24
Water,6343.51,Operational,2024-11-25 09:36:29
Waste Management,8717.55,Operational,2024-11-25 09:36:34
Water,418.93,Partially Operational,2024-11-25 09:36:39
Water,6618.07,Operational,2024-11-25 09:36:44
Waste Management,5989.77,Non-Operational,2024-11-25 09:36:49
Water,8233.31,Operational,2024-11-25 09:36:54
Water,6955.15,Non-Operational,2024-11-25 09:36:59
Waste Management,151.84,Non-Operational,2024-11-25 09:37:04
Water,1365.52,Partially Operational,2024-11-25 09:37:09
Water,3985.75,Partially Operational,2024-11-25 09:37:14
Electricity,1584.33,Partially Operational,2024-11-25 09:37:19
Electricity,9009.45,Partially Operational,2024-11-25 09:37:24
Waste Management,6236.98,Operational,2024-11-25 09:37:29
Waste Management,929.86,Partially Operational,2024-11-25 09:37:34
Waste Management,5540.54,Non-Operational,2024-11-25 09:37:39
Electricity,2207.93,Partially Operational,2024-11-25 09:37:44
Waste Management,2649.48,Partially Operational,2024-11-25 09:37:49
Electricity,4952.9,Non-Operational,2024-11-25 09:37:54
Electricity,3044.68,Non-Operational,2024-11-25 09:37:59
Electricity,3241.99,Partially Operational,2024-11-25 09:38:04
Water,4814.3,Non-Operational,2024-11-25 09:38:09
Electricity,2189.22,Operational,2024-11-25 09:38:14
Waste Management,7604.0,Partially Operational,2024-11-25 09:38:19
Waste Management,8527.57,Operational,2024-11-25 09:38:24
Waste Management,8384.61,Non-Operational,2024-11-25 09:38:29
Water,7075.59,Partially Operational,2024-11-25 09:38:34
Water,238.67,Non-Operational,2024-11-25 09:38:39
Electricity,295.16,Operational,2024-11-25 09:38:44
Water,7061.97,Operational,2024-11-25 09:38:49
Water,5619.74,Non-Operational,2024-11-25 09:38:54
Waste Management,8074.12,Operational,2024-11-25 09:38:59
Electricity,3908.74,Partially Operational,2024-11-25 09:39:04
Waste Management,9751.44,Partially Operational,2024-11-25 09:39:09
Waste Management,7729.86,Partially Operational,2024-11-25 09:39:14
Electricity,8562.85,Operational,2024-11-25 09:39:19
Water,9806.6,Partially Operational,2024-11-25 09:39:24
Waste Management,9501.14,Partially Operational,2024-11-25 09:39:29
Electricity,2746.74,Non-Operational,2024-11-25 09:39:35
Waste Management,9423.88,Non-Operational,2024-11-25 09:39:40
Electricity,9830.6,Operational,2024-11-25 09:39:45
Electricity,4194.2,Partially Operational,2024-11-25 09:39:50
Water,468.07,Partially Operational,2024-11-25 09:39:55
Electricity,9641.75,Non-Operational,2024-11-25 09:40:00
Water,8447.15,Partially Operational,2024-11-25 09:40:05
Water,8723.53,Non-Operational,2024-11-25 09:40:10
Water,3142.24,Non-Operational,2024-11-25 09:40:15
Electricity,9218.99,Non-Operational,2024-11-25 09:40:20
Water,1068.86,Non-Operational,2024-11-25 09:40:25
Electricity,7248.99,Non-Operational,2024-11-25 09:40:30
Water,2005.01,Operational,2024-11-25 09:40:35
Electricity,2764.17,Partially Operational,2024-11-25 09:40:40
Electricity,5138.76,Non-Operational,2024-11-25 09:40:45
Waste Management,6787.1,Partially Operational,2024-11-25 09:40:50
Electricity,9362.21,Non-Operational,2024-11-25 09:40:55
Electricity,6016.38,Operational,2024-11-25 09:41:00
Electricity,6327.47,Operational,2024-11-25 09:41:05
Water,2785.57,Non-Operational,2024-11-25 09:41:10
Electricity,3281.99,Operational,2024-11-25 09:41:15
Waste Management,3018.03,Non-Operational,2024-11-25 09:41:20
Waste Management,755.25,Non-Operational,2024-11-25 09:41:25
Water,1278.82,Operational,2024-11-25 09:41:30
Waste Management,8709.88,Partially Operational,2024-11-25 09:41:35
Waste Management,8843.14,Operational,2024-11-25 09:41:40
Electricity,9439.37,Partially Operational,2024-11-25 09:41:45
Electricity,1225.85,Non-Operational,2024-11-25 09:41:51
Water,588.44,Operational,2024-11-25 09:41:56
Electricity,5061.84,Partially Operational,2024-11-25 09:42:01
Electricity,8891.55,Non-Operational,2024-11-25 09:42:06
Electricity,4612.0,Non-Operational,2024-11-25 09:42:11
Electricity,6793.77,Non-Operational,2024-11-25 09:42:16
Water,1848.13,Partially Operational,2024-11-25 09:42:21
Electricity,5385.85,Partially Operational,2024-11-25 09:42:26
Waste Management,7320.94,Operational,2024-11-25 09:42:31
Electricity,2159.9,Partially Operational,2024-11-25 09:42:36
Electricity,2684.53,Operational,2024-11-25 09:42:41
Waste Management,3258.11,Non-Operational,2024-11-25 09:42:46
Water,302.82,Non-Operational,2024-11-25 09:42:51
Waste Management,3856.26,Operational,2024-11-25 09:42:56
Water,3512.58,Partially Operational,2024-11-25 09:43:01
Electricity,2770.16,Partially Operational,2024-11-25 09:43:06
Electricity,5421.3,Partially Operational,2024-11-25 09:43:11
Waste Management,1601.2,Partially Operational,2024-11-25 09:43:17
Electricity,1890.41,Partially Operational,2024-11-25 09:43:22
Electricity,5741.99,Partially Operational,2024-11-25 09:43:27
Waste Management,6276.29,Operational,2024-11-25 09:43:32
Electricity,3923.55,Operational,2024-11-25 09:43:37
Electricity,9028.25,Partially Operational,2024-11-25 09:43:42
Electricity,885.98,Non-Operational,2024-11-25 09:43:47
Water,5068.95,Operational,2024-11-25 09:43:52
Waste Management,3104.06,Operational,2024-11-25 09:43:57
Electricity,4818.03,Operational,2024-11-25 09:44:02
Waste Management,449.13,Non-Operational,2024-11-25 09:44:07
Waste Management,4965.06,Operational,2024-11-25 09:44:12
Electricity,5461.81,Non-Operational,2024-11-25 09:44:17
Electricity,3224.6,Non-Operational,2024-11-25 09:44:22
Electricity,4363.02,Operational,2024-11-25 09:44:27
Electricity,9696.43,Operational,2024-11-25 09:44:32
Waste Management,1710.23,Partially Operational,2024-11-25 09:44:37
Waste Management,3293.97,Non-Operational,2024-11-25 09:44:42
Waste Management,1753.62,Operational,2024-11-25 09:44:47
Waste Management,8602.52,Non-Operational,2024-11-25 09:44:52
Electricity,4361.12,Partially Operational,2024-11-25 09:44:57
Electricity,615.66,Non-Operational,2024-11-25 09:45:02
Electricity,6184.19,Operational,2024-11-25 09:45:07
Waste Management,487.07,Operational,2024-11-25 09:45:12
Waste Management,847.5,Partially Operational,2024-11-25 09:45:18
Waste Management,8934.92,Non-Operational,2024-11-25 09:45:23
Water,3623.67,Partially Operational,2024-11-25 09:45:28
Waste Management,989.39,Operational,2024-11-25 09:45:33
Waste Management,5256.38,Partially Operational,2024-11-25 09:45:38
Waste Management,1901.65,Non-Operational,2024-11-25 09:45:43
Water,1134.98,Partially Operational,2024-11-25 09:45:48
Waste Management,4626.5,Operational,2024-11-25 09:45:53
Water,2319.23,Non-Operational,2024-11-25 09:45:58
Electricity,2856.14,Non-Operational,2024-11-25 09:46:03
Waste Management,162.22,Non-Operational,2024-11-25 09:46:08
Electricity,3430.73,Operational,2024-11-25 09:46:13
Electricity,1359.41,Operational,2024-11-25 09:46:19
Waste Management,9297.97,Operational,2024-11-25 09:46:24
Water,9016.32,Operational,2024-11-25 09:46:29
Waste Management,5455.84,Partially Operational,2024-11-25 09:46:34
Water,6425.3,Operational,2024-11-25 09:46:39
Electricity,3879.55,Operational,2024-11-25 09:46:44
Waste Management,7106.6,Partially Operational,2024-11-25 09:46:49
Water,8989.73,Operational,2024-11-25 09:46:54
Waste Management,8057.42,Partially Operational,2024-11-25 09:46:59
Waste Management,3423.49,Non-Operational,2024-11-25 09:47:04
Waste Management,4208.66,Non-Operational,2024-11-25 09:47:09
Water,5672.15,Non-Operational,2024-11-25 09:47:14
Water,8263.34,Partially Operational,2024-11-25 09:47:19
Water,6772.45,Partially Operational,2024-11-25 09:47:24
Waste Management,2346.71,Operational,2024-11-25 09:47:29
Waste Management,2633.49,Operational,2024-11-25 09:47:34
Water,720.63,Partially Operational,2024-11-25 09:47:39
Water,5864.67,Partially Operational,2024-11-25 09:47:44
Water,2888.85,Operational,2024-11-25 09:47:50
Waste Management,3766.92,Partially Operational,2024-11-25 09:47:55
Electricity,9594.56,Operational,2024-11-25 09:48:00
Waste Management,5460.23,Operational,2024-11-25 09:48:05
Electricity,172.94,Operational,2024-11-25 09:48:10
Water,2434.72,Non-Operational,2024-11-25 09:48:15
Water,4699.11,Operational,2024-11-25 09:48:20
Waste Management,2538.67,Partially Operational,2024-11-25 09:48:25
Waste Management,3818.62,Partially Operational,2024-11-25 09:48:30
Waste Management,6866.91,Non-Operational,2024-11-25 09:48:35
Waste Management,7515.48,Non-Operational,2024-11-25 09:48:40
Electricity,1998.0,Operational,2024-11-25 09:48:45
Electricity,6154.54,Non-Operational,2024-11-25 09:48:50
Electricity,7120.29,Non-Operational,2024-11-25 09:48:55
Waste Management,1456.34,Partially Operational,2024-11-25 09:49:00
Water,5554.67,Non-Operational,2024-11-25 09:49:05
Electricity,1851.28,Operational,2024-11-25 09:49:10
Electricity,3147.2,Operational,2024-11-25 09:49:15
Water,2644.98,Operational,2024-11-25 09:49:20
Electricity,3440.76,Non-Operational,2024-11-25 09:49:25
Water,8524.69,Partially Operational,2024-11-25 09:49:30
Waste Management,8170.69,Non-Operational,2024-11-25 09:49:35
Water,7599.58,Partially Operational,2024-11-25 09:49:40
Electricity,7720.0,Operational,2024-11-25 09:49:45
Water,4963.93,Non-Operational,2024-11-25 09:49:50
Electricity,1218.38,Partially Operational,2024-11-25 09:49:55
Water,4221.07,Non-Operational,2024-11-25 09:50:00
Electricity,6318.96,Partially Operational,2024-11-25 09:50:05
Electricity,5538.83,Partially Operational,2024-11-25 09:50:10
Waste Management,6610.04,Non-Operational,2024-11-25 09:50:15
Water,5627.84,Partially Operational,2024-11-25 09:50:20
Electricity,7187.49,Partially Operational,2024-11-25 09:50:25
Water,8002.54,Partially Operational,2024-11-25 09:50:30
Electricity,6398.78,Operational,2024-11-25 09:50:35
Waste Management,5348.28,Partially Operational,2024-11-25 09:50:40
Electricity,5285.66,Non-Operational,2024-11-25 09:50:45
Electricity,8299.55,Partially Operational,2024-11-25 09:50:50
Waste Management,6667.79,Operational,2024-11-25 09:50:55
Electricity,7176.12,Partially Operational,2024-11-25 09:51:00
Waste Management,6661.57,Operational,2024-11-25 09:51:05
Water,8677.44,Partially Operational,2024-11-25 09:51:10
Waste Management,1540.22,Operational,2024-11-25 09:51:15
Water,977.31,Operational,2024-11-25 09:51:20
Water,1324.7,Operational,2024-11-25 09:51:25
Water,3237.6,Partially Operational,2024-11-25 09:51:30
Waste Management,8095.74,Operational,2024-11-25 09:51:35
Electricity,8333.22,Non-Operational,2024-11-25 09:51:40
Electricity,5031.88,Non-Operational,2024-11-25 09:51:45
Water,5339.2,Partially Operational,2024-11-25 09:51:50
Electricity,2803.53,Non-Operational,2024-11-25 09:51:55
Water,1982.44,Operational,2024-11-25 09:52:00
Waste Management,1551.13,Non-Operational,2024-11-25 09:52:05
Waste Management,6618.18,Non-Operational,2024-11-25 09:52:10
Electricity,8179.41,Operational,2024-11-25 09:52:15
Waste Management,4682.92,Non-Operational,2024-11-25 09:52:20
Electricity,6128.45,Non-Operational,2024-11-25 09:52:25
Waste Management,4299.43,Non-Operational,2024-11-25 09:52:30
Electricity,862.75,Partially Operational,2024-11-25 09:52:35
Waste Management,8463.02,Non-Operational,2024-11-25 09:52:40
Electricity,3305.33,Partially Operational,2024-11-25 09:52:45
Electricity,6991.2,Non-Operational,2024-11-25 09:52:50
Electricity,3360.47,Non-Operational,2024-11-25 09:52:55
Waste Management,9496.66,Non-Operational,2024-11-25 09:53:00
Waste Management,4089.05,Non-Operational,2024-11-25 09:53:05
Waste Management,3390.35,Non-Operational,2024-11-25 09:53:10
Water,7282.62,Non-Operational,2024-11-25 09:53:15
Water,6233.58,Partially Operational,2024-11-25 09:53:20
Water,8285.94,Partially Operational,2024-11-25 09:53:25
Electricity,2958.91,Operational,2024-11-25 09:53:31
Waste Management,9958.38,Partially Operational,2024-11-25 09:53:36
Water,3130.02,Operational,2024-11-25 09:53:41
Electricity,3593.84,Operational,2024-11-25 09:53:46
Electricity,6935.46,Non-Operational,2024-11-25 09:53:51
Electricity,2228.54,Non-Operational,2024-11-25 09:53:56
Water,7849.07,Non-Operational,2024-11-25 09:54:01
Waste Management,3099.0,Partially Operational,2024-11-25 09:54:06
Waste Management,3621.99,Operational,2024-11-25 09:54:11
Electricity,3393.18,Non-Operational,2024-11-25 09:54:16
Electricity,7262.2,Operational,2024-11-25 09:54:21
Water,6378.26,Operational,2024-11-25 09:54:26
Electricity,8165.16,Partially Operational,2024-11-25 09:54:31
Waste Management,5070.11,Non-Operational,2024-11-25 09:54:36
Electricity,2699.57,Non-Operational,2024-11-25 09:54:41
Water,7381.53,Operational,2024-11-25 09:54:46
Water,4710.23,Non-Operational,2024-11-25 09:54:51
Electricity,4156.52,Operational,2024-11-25 09:54:56
Electricity,2297.54,Partially Operational,2024-11-25 09:55:01
Water,810.88,Non-Operational,2024-11-25 09:55:06
Waste Management,9090.2,Operational,2024-11-25 09:55:11
Electricity,5179.29,Operational,2024-11-25 09:55:16
Water,3363.91,Non-Operational,2024-11-25 09:55:21
Water,4870.38,Partially Operational,2024-11-25 09:55:26
Waste Management,2446.94,Non-Operational,2024-11-25 09:55:31
Water,3236.6,Non-Operational,2024-11-25 09:55:36
Water,5771.56,Operational,2024-11-25 09:55:41
Water,773.78,Operational,2024-11-25 09:55:46
Water,8498.74,Operational,2024-11-25 09:55:51
Waste Management,9752.06,Partially Operational,2024-11-25 09:55:57
Waste Management,5658.01,Operational,2024-11-25 09:56:02
Water,2272.98,Partially Operational,2024-11-25 09:56:07
Water,5636.01,Non-Operational,2024-11-25 09:56:12
Electricity,8613.58,Partially Operational,2024-11-25 09:56:17
Water,4948.76,Operational,2024-11-25 09:56:22
Electricity,3361.5,Non-Operational,2024-11-25 09:56:27
Waste Management,2669.19,Non-Operational,2024-11-25 09:56:32
Waste Management,6636.47,Operational,2024-11-25 09:56:37
Waste Management,4689.28,Partially Operational,2024-11-25 09:56:42
Water,4603.19,Partially Operational,2024-11-25 09:56:47
Water,6687.12,Non-Operational,2024-11-25 09:56:52
Water,8674.37,Operational,2024-11-25 09:56:57
Electricity,4172.58,Operational,2024-11-25 09:57:03
Water,692.47,Operational,2024-11-25 09:57:08
Electricity,8095.74,Operational,2024-11-25 09:57:13
Electricity,6379.22,Partially Operational,2024-11-25 09:57:18
Electricity,5350.19,Operational,2024-11-25 09:57:23
Water,4448.27,Operational,2024-11-25 09:57:28
Electricity,1277.15,Operational,2024-11-25 09:57:33
Waste Management,1747.93,Operational,2024-11-25 09:57:38
Waste Management,8269.49,Partially Operational,2024-11-25 09:57:43
Waste Management,8302.97,Partially Operational,2024-11-25 09:57:48
Electricity,1587.94,Partially Operational,2024-11-25 09:57:53
Electricity,236.32,Partially Operational,2024-11-25 09:57:58
Waste Management,1501.86,Partially Operational,2024-11-25 09:58:03
Waste Management,1990.89,Non-Operational,2024-11-25 09:58:08
Electricity,7916.79,Non-Operational,2024-11-25 09:58:13
Water,8180.76,Non-Operational,2024-11-25 09:58:18
Water,5508.7,Operational,2024-11-25 09:58:23
Electricity,4901.15,Partially Operational,2024-11-25 09:58:28
Water,1435.9,Non-Operational,2024-11-25 09:58:33
Waste Management,2504.46,Non-Operational,2024-11-25 09:58:38
Water,7203.31,Non-Operational,2024-11-25 09:58:43
Electricity,9154.64,Operational,2024-11-25 09:58:48
Water,1262.11,Operational,2024-11-25 09:58:53
Waste Management,5605.86,Partially Operational,2024-11-25 09:58:58
Electricity,7777.54,Operational,2024-11-25 09:59:03
Electricity,4638.1,Operational,2024-11-25 09:59:08
Water,9644.73,Non-Operational,2024-11-25 09:59:13
Water,9360.34,Operational,2024-11-25 09:59:18
Water,4934.49,Operational,2024-11-25 09:59:23
Water,7446.71,Operational,2024-11-25 09:59:28
Waste Management,1356.06,Operational,2024-11-25 09:59:33
Water,5704.56,Non-Operational,2024-11-25 09:59:38
Waste Management,7148.28,Operational,2024-11-25 09:59:44
Waste Management,8896.97,Non-Operational,2024-11-25 09:59:49
Water,3898.36,Operational,2024-11-25 09:59:54
Waste Management,2215.31,Non-Operational,2024-11-25 09:59:59
Electricity,5229.33,Partially Operational,2024-11-25 10:00:04
Water,5729.39,Operational,2024-11-25 10:00:09
Electricity,6869.16,Non-Operational,2024-11-25 10:00:14
Water,4720.62,Partially Operational,2024-11-25 10:00:19
Waste Management,5887.42,Non-Operational,2024-11-25 10:00:24
Electricity,3584.08,Operational,2024-11-25 10:00:29
Waste Management,6667.98,Operational,2024-11-25 10:00:34
Water,5456.97,Partially Operational,2024-11-25 10:00:39
Electricity,7220.34,Non-Operational,2024-11-25 10:00:44
Electricity,2647.02,Non-Operational,2024-11-25 10:00:49
Water,3097.05,Non-Operational,2024-11-25 10:00:54
Waste Management,8247.54,Non-Operational,2024-11-25 10:00:59
Waste Management,2020.43,Operational,2024-11-25 10:01:04
Waste Management,148.03,Non-Operational,2024-11-25 10:01:09
Electricity,3738.39,Partially Operational,2024-11-25 10:01:14
Waste Management,6065.64,Non-Operational,2024-11-25 10:01:20
Waste Management,8502.51,Non-Operational,2024-11-25 10:01:25
Water,4435.12,Operational,2024-11-25 10:01:30
Electricity,2543.18,Operational,2024-11-25 10:01:35
Electricity,1051.04,Operational,2024-11-25 10:01:40
Waste Management,4244.74,Partially Operational,2024-11-25 10:01:45
Waste Management,4085.48,Partially Operational,2024-11-25 10:01:50
Electricity,8366.88,Operational,2024-11-25 10:01:55
Water,5624.04,Non-Operational,2024-11-25 10:02:00
Water,8845.63,Partially Operational,2024-11-25 10:02:05
Waste Management,1108.33,Partially Operational,2024-11-25 10:02:10
Waste Management,6603.42,Operational,2024-11-25 10:02:15
Electricity,1914.15,Operational,2024-11-25 10:02:20
Electricity,5693.06,Non-Operational,2024-11-25 10:02:25
Electricity,4116.42,Operational,2024-11-25 10:02:30
Water,775.72,Non-Operational,2024-11-25 10:02:35
Waste Management,6530.61,Partially Operational,2024-11-25 10:02:40
Electricity,3004.08,Partially Operational,2024-11-25 10:02:45
Water,6804.78,Non-Operational,2024-11-25 10:02:50
Water,5078.2,Non-Operational,2024-11-25 10:02:55
Electricity,8057.49,Operational,2024-11-25 10:03:00
Electricity,1229.66,Operational,2024-11-25 10:03:05
Waste Management,8564.29,Operational,2024-11-25 10:03:10
Electricity,4582.2,Operational,2024-11-25 10:03:15
Waste Management,6517.17,Operational,2024-11-25 10:03:20
Waste Management,9408.19,Non-Operational,2024-11-25 10:03:25
Waste Management,8445.3,Operational,2024-11-25 10:03:30
Waste Management,4505.18,Partially Operational,2024-11-25 10:03:35
Water,6497.51,Operational,2024-11-25 10:03:41
Electricity,8307.37,Non-Operational,2024-11-25 10:03:46
Electricity,6919.65,Non-Operational,2024-11-25 10:03:51
Water,6929.91,Non-Operational,2024-11-25 10:03:56
Water,6394.07,Partially Operational,2024-11-25 10:04:01
Water,8104.65,Operational,2024-11-25 10:04:06
Electricity,7958.1,Partially Operational,2024-11-25 10:04:11
Waste Management,935.16,Partially Operational,2024-11-25 10:04:16
Waste Management,6180.07,Non-Operational,2024-11-25 10:04:21
Waste Management,7700.9,Operational,2024-11-25 10:04:26
Water,7653.11,Operational,2024-11-25 10:04:31
Water,8389.62,Operational,2024-11-25 10:04:36
Water,209.94,Non-Operational,2024-11-25 10:04:41
Water,5397.52,Non-Operational,2024-11-25 10:04:46
Water,2680.04,Operational,2024-11-25 10:04:51
Electricity,8907.62,Operational,2024-11-25 10:04:56
Water,448.1,Operational,2024-11-25 10:05:01
Waste Management,9609.56,Non-Operational,2024-11-25 10:05:06
Waste Management,4637.54,Operational,2024-11-25 10:05:11
Waste Management,1279.9,Non-Operational,2024-11-25 10:05:16
Waste Management,2969.65,Partially Operational,2024-11-25 10:05:21
Electricity,4973.25,Partially Operational,2024-11-25 10:05:26
Water,6745.66,Non-Operational,2024-11-25 10:05:31
Electricity,1175.78,Operational,2024-11-25 10:05:36
Water,1326.91,Non-Operational,2024-11-25 10:05:41
Water,5697.5,Operational,2024-11-25 10:05:46
Electricity,4267.25,Operational,2024-11-25 10:05:51
Waste Management,7744.11,Operational,2024-11-25 10:05:56
Water,5124.83,Partially Operational,2024-11-25 10:06:01
Waste Management,4205.52,Non-Operational,2024-11-25 10:06:06
Water,7844.91,Operational,2024-11-25 10:06:11
Water,6562.42,Operational,2024-11-25 10:06:16
Water,424.35,Non-Operational,2024-11-25 10:06:21
Electricity,7569.22,Operational,2024-11-25 10:06:26
Electricity,5638.33,Operational,2024-11-25 10:06:31
Electricity,250.02,Non-Operational,2024-11-25 10:06:36
Electricity,1875.94,Operational,2024-11-25 10:06:41
Water,5029.11,Non-Operational,2024-11-25 10:06:46
Water,1608.4,Partially Operational,2024-11-25 10:06:51
Electricity,985.63,Operational,2024-11-25 10:06:56
Water,7901.16,Partially Operational,2024-11-25 10:07:01
Waste Management,1827.18,Operational,2024-11-25 10:07:06
Waste Management,8590.09,Non-Operational,2024-11-25 10:07:11
Water,5988.22,Partially Operational,2024-11-25 10:07:16
Waste Management,3735.72,Operational,2024-11-25 10:07:21
Water,4897.54,Operational,2024-11-25 10:07:26
Electricity,9584.73,Non-Operational,2024-11-25 10:07:31
