location,vehicle_count,average_speed,congestion_level,timestamp
Kurla,495,67.5,High,2024-11-25 09:04:14
Kandivali West,271,30.73,Low,2024-11-25 09:04:19
Thane,794,26.37,High,2024-11-25 09:04:24
Kandivali East,468,35.31,Low,2024-11-25 09:04:29
Saki Naka,745,73.88,High,2024-11-25 09:04:34
Prabhadevi,199,74.48,High,2024-11-25 09:04:39
Chembur,661,23.53,High,2024-11-25 09:04:44
Mahalaxmi,188,87.95,High,2024-11-25 09:04:49
Lower Parel,936,42.91,Moderate,2024-11-25 09:04:54
Vashi,529,76.91,Moderate,2024-11-25 09:04:59
Mahalaxmi,164,50.93,High,2024-11-25 09:05:04
Chembur,561,55.16,Moderate,2024-11-25 09:05:09
Chembur,70,44.21,Moderate,2024-11-25 09:05:14
Nariman Point,508,55.49,High,2024-11-25 09:05:19
Kandivali West,161,87.59,Moderate,2024-11-25 09:05:24
Vashi,334,36.68,High,2024-11-25 09:05:29
Lower Parel,595,64.6,Moderate,2024-11-25 09:05:34
Kandivali West,78,32.65,Moderate,2024-11-25 09:05:39
Sion,641,91.44,Low,2024-11-25 09:05:44
Khar,765,65.99,High,2024-11-25 09:05:49
Colaba,256,78.29,Low,2024-11-25 09:05:54
Thane,159,62.27,High,2024-11-25 09:05:59
Dahisar,753,50.75,Low,2024-11-25 09:06:04
Matunga,874,83.92,High,2024-11-25 09:06:09
Lower Parel,273,95.23,Low,2024-11-25 09:06:14
Bhayandar,958,72.07,Moderate,2024-11-25 09:06:19
Worli,764,55.78,High,2024-11-25 09:06:24
Sion,354,29.65,Low,2024-11-25 09:06:29
Kandivali West,825,96.8,Low,2024-11-25 09:06:34
Dadar,895,80.37,Low,2024-11-25 09:06:39
Sion,186,93.11,Low,2024-11-25 09:06:44
Borivali,982,54.19,High,2024-11-25 09:06:49
Marine Drive,177,69.39,High,2024-11-25 09:06:55
Sion,645,96.73,Low,2024-11-25 09:07:00
Khar,335,35.26,Low,2024-11-25 09:07:05
Andheri,315,41.04,Low,2024-11-25 09:07:10
Sion,875,48.77,Moderate,2024-11-25 09:07:15
Kandivali East,544,22.74,Moderate,2024-11-25 09:07:20
Prabhadevi,409,98.64,High,2024-11-25 09:07:25
Prabhadevi,344,85.94,Moderate,2024-11-25 09:07:30
Andheri,946,79.31,Low,2024-11-25 09:07:35
Nariman Point,876,49.18,High,2024-11-25 09:07:40
Lower Parel,881,38.72,Low,2024-11-25 09:07:45
Thane,606,37.78,Moderate,2024-11-25 09:07:50
Bhayandar,579,51.8,High,2024-11-25 09:07:55
Nariman Point,463,46.77,Moderate,2024-11-25 09:08:00
Bandra,268,29.51,Moderate,2024-11-25 09:08:05
Thane,783,54.09,Moderate,2024-11-25 09:08:10
Khar,486,87.1,High,2024-11-25 09:08:15
Thane,51,57.11,Moderate,2024-11-25 09:08:20
Dadar,844,94.76,Low,2024-11-25 09:08:25
Marine Drive,833,49.46,High,2024-11-25 09:08:30
Marine Drive,797,66.75,Moderate,2024-11-25 09:08:35
Vile Parle,80,49.11,Moderate,2024-11-25 09:08:40
Thane,248,43.6,Moderate,2024-11-25 09:08:45
Dadar,210,74.76,Moderate,2024-11-25 09:08:50
Nariman Point,469,34.4,Low,2024-11-25 09:08:55
Lower Parel,199,34.37,High,2024-11-25 09:09:00
Nariman Point,54,98.14,High,2024-11-25 09:09:05
Lower Parel,643,34.37,Moderate,2024-11-25 09:09:10
Kandivali East,362,75.05,Moderate,2024-11-25 09:09:15
Khar,371,21.3,High,2024-11-25 09:09:20
Santacruz,302,37.39,High,2024-11-25 09:09:25
Matunga,914,80.39,Moderate,2024-11-25 09:09:30
Andheri,79,29.88,Low,2024-11-25 09:09:35
Santacruz,117,72.95,Moderate,2024-11-25 09:09:40
Andheri,586,34.37,Low,2024-11-25 09:09:45
Ghatkopar,838,68.75,High,2024-11-25 09:09:50
Sion,891,67.82,Low,2024-11-25 09:09:55
Mahalaxmi,711,98.88,High,2024-11-25 09:10:00
Chembur,732,94.94,Moderate,2024-11-25 09:10:05
Worli,847,56.26,High,2024-11-25 09:10:10
Marine Drive,456,49.32,Low,2024-11-25 09:10:15
Nariman Point,796,77.2,Moderate,2024-11-25 09:10:20
Matunga,273,36.56,Low,2024-11-25 09:10:25
Chembur,350,44.27,Moderate,2024-11-25 09:10:30
Mulund,578,25.5,Low,2024-11-25 09:10:35
Prabhadevi,543,55.48,Low,2024-11-25 09:10:40
Malad,50,98.32,Low,2024-11-25 09:10:45
Chembur,656,32.78,Low,2024-11-25 09:10:50
Thane,758,28.83,High,2024-11-25 09:10:55
Santacruz,121,48.28,Moderate,2024-11-25 09:11:00
Versova,263,92.38,Low,2024-11-25 09:11:05
Santacruz,751,36.96,Low,2024-11-25 09:11:10
Matunga,854,92.51,High,2024-11-25 09:11:15
Kandivali,893,63.49,Moderate,2024-11-25 09:11:20
Dahisar,284,99.41,Moderate,2024-11-25 09:11:25
Lower Parel,67,37.23,High,2024-11-25 09:11:30
Lower Parel,926,28.49,High,2024-11-25 09:11:35
Kandivali East,489,72.88,Low,2024-11-25 09:11:40
Borivali,675,95.07,High,2024-11-25 09:11:45
Matunga,782,76.9,High,2024-11-25 09:11:50
Marine Drive,303,31.99,High,2024-11-25 09:11:55
Worli,229,42.83,High,2024-11-25 09:12:00
Bandra,478,41.49,High,2024-11-25 09:12:05
Bhayandar,285,23.43,Low,2024-11-25 09:12:10
Worli,922,91.11,High,2024-11-25 09:12:15
Malad,848,80.71,Low,2024-11-25 09:12:20
Kandivali West,115,85.35,High,2024-11-25 09:12:25
Ghatkopar,52,30.26,Low,2024-11-25 09:12:30
Thane,952,41.55,Moderate,2024-11-25 09:12:35
Saki Naka,521,65.65,High,2024-11-25 09:12:40
Thane,485,70.54,Moderate,2024-11-25 09:12:45
Mulund,636,79.5,Moderate,2024-11-25 09:12:50
Bhayandar,974,78.33,High,2024-11-25 09:12:55
Matunga,115,79.79,Low,2024-11-25 09:13:00
Malad,861,58.6,Low,2024-11-25 09:13:05
Worli,492,40.25,Moderate,2024-11-25 09:13:10
Nariman Point,590,82.03,Low,2024-11-25 09:13:15
Marine Drive,66,52.49,High,2024-11-25 09:13:20
Mahalaxmi,656,51.42,Moderate,2024-11-25 09:13:25
Borivali,194,96.01,Moderate,2024-11-25 09:13:30
Thane,301,49.63,High,2024-11-25 09:13:35
Marine Drive,181,82.67,Moderate,2024-11-25 09:13:40
Vile Parle,272,94.54,Low,2024-11-25 09:13:45
Colaba,978,69.06,Low,2024-11-25 09:13:50
Malad,282,70.11,High,2024-11-25 09:13:55
Mahalaxmi,54,30.68,Moderate,2024-11-25 09:14:00
Mulund,172,60.21,High,2024-11-25 09:14:05
Sion,621,72.09,Moderate,2024-11-25 09:14:10
Prabhadevi,323,87.16,Moderate,2024-11-25 09:14:15
Andheri,965,75.97,Low,2024-11-25 09:14:20
Versova,678,56.51,Moderate,2024-11-25 09:14:25
Kandivali,797,31.54,Low,2024-11-25 09:14:30
Kandivali West,472,63.14,Moderate,2024-11-25 09:14:35
Khar,175,37.85,Moderate,2024-11-25 09:14:40
Vashi,829,32.89,Moderate,2024-11-25 09:14:45
Bhayandar,335,45.36,Moderate,2024-11-25 09:14:50
Malad,743,22.17,Low,2024-11-25 09:14:56
Borivali,236,79.13,Moderate,2024-11-25 09:15:01
Mulund,985,64.28,Low,2024-11-25 09:15:06
Mulund,253,90.7,High,2024-11-25 09:15:11
Dahisar,928,56.34,Moderate,2024-11-25 09:15:16
Kandivali,118,54.12,High,2024-11-25 09:15:21
Vile Parle,194,29.62,High,2024-11-25 09:15:26
Chembur,342,20.8,Low,2024-11-25 09:15:31
Santacruz,271,38.41,Low,2024-11-25 09:15:36
Worli,477,84.2,High,2024-11-25 09:15:41
Bandra,657,53.24,High,2024-11-25 09:15:46
Khar,288,54.32,High,2024-11-25 09:15:51
Malad,207,86.71,High,2024-11-25 09:15:56
Borivali,996,79.85,Low,2024-11-25 09:16:01
Bhayandar,886,65.63,Low,2024-11-25 09:16:06
Colaba,170,77.79,Low,2024-11-25 09:16:11
Worli,538,59.1,Moderate,2024-11-25 09:16:16
Jogeshwari,829,65.96,Low,2024-11-25 09:16:21
Mahalaxmi,595,81.04,Moderate,2024-11-25 09:16:26
Kurla,595,97.45,Low,2024-11-25 09:16:31
Andheri,563,34.29,Low,2024-11-25 09:16:36
Kandivali East,999,39.93,High,2024-11-25 09:16:41
Parel,874,61.21,Moderate,2024-11-25 09:16:46
Saki Naka,722,77.47,High,2024-11-25 09:16:51
Sion,976,44.64,Low,2024-11-25 09:16:56
Marine Drive,838,63.64,Low,2024-11-25 09:17:01
Santacruz,862,33.8,High,2024-11-25 09:17:06
Kurla,440,55.51,Low,2024-11-25 09:17:11
Chembur,400,25.08,Moderate,2024-11-25 09:17:16
Bhayandar,614,82.24,Low,2024-11-25 09:17:21
Saki Naka,985,54.63,Moderate,2024-11-25 09:17:26
Khar,194,24.25,Moderate,2024-11-25 09:17:31
Bandra,722,73.53,Low,2024-11-25 09:17:36
Lower Parel,279,60.04,Low,2024-11-25 09:17:41
Kurla,693,63.18,Moderate,2024-11-25 09:17:46
Jogeshwari,93,60.86,Moderate,2024-11-25 09:17:51
Santacruz,932,72.55,Moderate,2024-11-25 09:17:56
Sion,442,27.38,Low,2024-11-25 09:18:01
Andheri,103,41.56,High,2024-11-25 09:18:06
Parel,331,85.46,High,2024-11-25 09:18:11
Andheri,636,58.15,Low,2024-11-25 09:18:16
Worli,876,26.46,High,2024-11-25 09:18:21
Borivali,374,36.52,High,2024-11-25 09:18:26
Bandra,387,79.09,Moderate,2024-11-25 09:18:31
Versova,385,78.15,Moderate,2024-11-25 09:18:36
Khar,71,97.28,Low,2024-11-25 09:18:41
Borivali,823,75.14,Moderate,2024-11-25 09:18:46
Saki Naka,687,61.84,High,2024-11-25 09:18:51
Malad,793,48.49,Low,2024-11-25 09:18:56
Santacruz,506,56.18,Moderate,2024-11-25 09:19:01
Santacruz,502,46.44,Low,2024-11-25 09:19:06
Saki Naka,325,90.92,Low,2024-11-25 09:19:11
Vile Parle,715,87.44,Moderate,2024-11-25 09:19:16
Malad,875,49.6,High,2024-11-25 09:19:21
Kurla,93,71.3,High,2024-11-25 09:19:26
Worli,918,34.88,Low,2024-11-25 09:19:31
Dahisar,477,41.39,Moderate,2024-11-25 09:19:36
Ghatkopar,419,49.46,Moderate,2024-11-25 09:19:41
Andheri,269,58.13,Moderate,2024-11-25 09:19:46
Prabhadevi,106,79.59,Moderate,2024-11-25 09:19:51
Chembur,211,42.41,Moderate,2024-11-25 09:19:56
Chembur,873,94.97,Low,2024-11-25 09:20:01
Dahisar,792,67.85,Low,2024-11-25 09:20:06
Sion,59,66.69,High,2024-11-25 09:20:11
Ghatkopar,638,99.8,Moderate,2024-11-25 09:20:16
Andheri,856,52.96,High,2024-11-25 09:20:21
Dahisar,303,98.73,Moderate,2024-11-25 09:20:26
Thane,782,40.27,High,2024-11-25 09:20:31
Marine Drive,982,87.61,High,2024-11-25 09:20:36
Malad,444,63.55,Moderate,2024-11-25 09:20:41
Khar,686,38.56,Low,2024-11-25 09:20:46
Worli,661,59.71,Moderate,2024-11-25 09:20:51
Dahisar,895,76.03,Moderate,2024-11-25 09:20:56
Lower Parel,567,94.19,Low,2024-11-25 09:21:01
Malad,180,73.96,Moderate,2024-11-25 09:21:06
Prabhadevi,141,47.08,High,2024-11-25 09:21:11
Parel,684,71.51,Moderate,2024-11-25 09:21:16
Khar,652,36.87,Moderate,2024-11-25 09:21:21
Thane,512,54.02,Low,2024-11-25 09:21:26
Andheri,279,24.94,Low,2024-11-25 09:21:31
Kandivali East,198,60.24,Moderate,2024-11-25 09:21:36
Sion,851,49.16,Moderate,2024-11-25 09:21:41
Nariman Point,634,39.16,Moderate,2024-11-25 09:21:46
Mulund,267,35.02,Moderate,2024-11-25 09:21:51
Matunga,953,31.25,High,2024-11-25 09:21:56
Khar,696,72.5,Low,2024-11-25 09:22:01
Marine Drive,834,69.42,Moderate,2024-11-25 09:22:06
Vile Parle,258,48.63,High,2024-11-25 09:22:11
Kandivali,226,65.02,Moderate,2024-11-25 09:22:16
Santacruz,443,90.49,Moderate,2024-11-25 09:22:21
Dadar,790,97.55,Moderate,2024-11-25 09:22:26
Worli,700,45.62,Moderate,2024-11-25 09:22:31
Ghatkopar,579,81.2,High,2024-11-25 09:22:36
Vashi,57,82.41,High,2024-11-25 09:22:41
Matunga,163,90.24,Moderate,2024-11-25 09:22:46
Marine Drive,813,23.37,High,2024-11-25 09:22:51
Versova,325,92.12,High,2024-11-25 09:22:56
Nariman Point,417,84.9,Moderate,2024-11-25 09:23:01
Ghatkopar,496,50.95,Low,2024-11-25 09:23:06
Kandivali,248,84.83,Moderate,2024-11-25 09:23:11
Matunga,269,77.45,Moderate,2024-11-25 09:23:16
Kandivali East,685,94.55,Low,2024-11-25 09:23:21
Colaba,319,52.2,Low,2024-11-25 09:23:26
Kurla,846,71.2,Low,2024-11-25 09:23:31
Dahisar,653,82.95,Moderate,2024-11-25 09:23:36
Parel,746,35.97,High,2024-11-25 09:23:41
Andheri,377,49.27,Moderate,2024-11-25 09:23:46
Marine Drive,73,55.9,High,2024-11-25 09:23:51
Kandivali East,147,43.6,Low,2024-11-25 09:23:56
Kandivali West,696,99.82,Moderate,2024-11-25 09:24:01
Ghatkopar,449,82.83,Moderate,2024-11-25 09:24:06
Vile Parle,128,76.77,High,2024-11-25 09:24:11
Sion,664,52.04,High,2024-11-25 09:24:16
Kandivali West,949,55.08,Moderate,2024-11-25 09:24:21
Sion,666,68.03,Low,2024-11-25 09:24:26
Mulund,315,93.61,High,2024-11-25 09:24:31
Mulund,701,23.95,Low,2024-11-25 09:24:36
Kurla,590,84.05,Low,2024-11-25 09:24:41
Ghatkopar,405,65.86,High,2024-11-25 09:24:46
Saki Naka,725,50.26,Low,2024-11-25 09:24:51
Kurla,471,80.38,Moderate,2024-11-25 09:24:56
Matunga,875,26.01,Low,2024-11-25 09:25:01
Nariman Point,230,49.41,Low,2024-11-25 09:25:06
Marine Drive,160,20.15,High,2024-11-25 09:25:11
Mahalaxmi,978,95.58,High,2024-11-25 09:25:16
Bandra,399,35.31,High,2024-11-25 09:25:21
Chembur,433,62.49,Moderate,2024-11-25 09:25:26
Santacruz,688,74.35,Low,2024-11-25 09:25:31
Kandivali East,859,44.79,Moderate,2024-11-25 09:25:36
Lower Parel,972,96.2,High,2024-11-25 09:25:41
Kandivali West,169,49.5,Moderate,2024-11-25 09:25:46
Mahalaxmi,466,77.3,High,2024-11-25 09:25:51
Lower Parel,114,23.94,High,2024-11-25 09:25:56
Kandivali West,147,70.53,Moderate,2024-11-25 09:26:01
Kandivali East,614,64.19,Moderate,2024-11-25 09:26:06
Kandivali,122,60.81,High,2024-11-25 09:26:11
Kandivali,975,51.81,Low,2024-11-25 09:26:16
Bandra,625,34.76,Moderate,2024-11-25 09:26:21
Versova,268,32.86,Low,2024-11-25 09:26:26
Malad,937,38.34,High,2024-11-25 09:26:31
Kurla,201,40.12,High,2024-11-25 09:26:36
Prabhadevi,735,47.56,Low,2024-11-25 09:26:41
Thane,858,41.06,High,2024-11-25 09:26:46
Borivali,749,80.54,Low,2024-11-25 09:26:51
Andheri,512,89.35,Low,2024-11-25 09:26:56
Saki Naka,700,34.67,Moderate,2024-11-25 09:27:01
Kandivali East,431,41.19,Moderate,2024-11-25 09:27:06
Matunga,271,70.76,High,2024-11-25 09:27:11
Bhayandar,867,35.44,Moderate,2024-11-25 09:27:17
Kandivali East,720,34.0,High,2024-11-25 09:27:22
Mulund,688,61.98,Low,2024-11-25 09:27:27
Colaba,846,82.51,Low,2024-11-25 09:27:32
Kurla,125,68.16,High,2024-11-25 09:27:37
Santacruz,122,26.16,Low,2024-11-25 09:27:42
Santacruz,514,69.57,Low,2024-11-25 09:27:47
Bhayandar,882,83.69,Moderate,2024-11-25 09:27:52
Colaba,658,40.56,Moderate,2024-11-25 09:27:57
Nariman Point,710,44.63,High,2024-11-25 09:28:02
Dahisar,869,81.32,High,2024-11-25 09:28:07
Mahalaxmi,67,62.93,High,2024-11-25 09:28:12
Prabhadevi,540,68.4,High,2024-11-25 09:28:17
Kandivali West,696,47.94,Moderate,2024-11-25 09:28:22
Parel,305,52.12,Moderate,2024-11-25 09:28:27
Santacruz,255,41.06,Low,2024-11-25 09:28:32
Colaba,134,60.62,Low,2024-11-25 09:28:37
Marine Drive,905,62.73,Moderate,2024-11-25 09:28:42
Vashi,149,23.47,Moderate,2024-11-25 09:28:47
Chembur,915,62.12,Low,2024-11-25 09:28:52
Kandivali West,982,66.0,Moderate,2024-11-25 09:28:57
Jogeshwari,501,39.84,Moderate,2024-11-25 09:29:02
Mulund,509,96.59,Moderate,2024-11-25 09:29:07
Mulund,166,58.34,Moderate,2024-11-25 09:29:12
Dadar,755,74.68,High,2024-11-25 09:29:17
Kandivali West,963,81.75,Moderate,2024-11-25 09:29:22
Dadar,337,74.56,High,2024-11-25 09:29:27
Andheri,123,77.44,Low,2024-11-25 09:29:32
Versova,103,69.84,High,2024-11-25 09:29:37
Borivali,97,72.73,High,2024-11-25 09:29:42
Prabhadevi,555,56.14,Low,2024-11-25 09:29:47
Ghatkopar,399,51.49,Moderate,2024-11-25 09:29:52
Mahalaxmi,999,72.36,Low,2024-11-25 09:29:57
Bhayandar,851,81.73,Low,2024-11-25 09:30:02
Sion,492,66.65,Low,2024-11-25 09:30:07
Kandivali West,455,61.17,Moderate,2024-11-25 09:30:12
Santacruz,914,32.48,Moderate,2024-11-25 09:30:17
Kandivali East,736,53.04,Low,2024-11-25 09:30:22
Vile Parle,203,94.99,High,2024-11-25 09:30:28
Malad,53,54.23,High,2024-11-25 09:30:33
Marine Drive,972,28.81,Moderate,2024-11-25 09:30:38
Dadar,648,61.47,Moderate,2024-11-25 09:30:43
Colaba,967,63.15,Moderate,2024-11-25 09:30:48
Lower Parel,976,75.59,Moderate,2024-11-25 09:30:53
Ghatkopar,758,87.6,High,2024-11-25 09:30:58
Marine Drive,762,36.61,Moderate,2024-11-25 09:31:03
Vashi,318,78.43,Moderate,2024-11-25 09:31:08
Mahalaxmi,683,77.37,High,2024-11-25 09:31:13
Parel,770,53.19,High,2024-11-25 09:31:18
Vile Parle,591,79.92,Moderate,2024-11-25 09:31:23
Dahisar,258,39.59,High,2024-11-25 09:31:28
Bandra,767,60.16,Moderate,2024-11-25 09:31:33
Jogeshwari,975,52.94,Low,2024-11-25 09:31:38
Dadar,792,61.14,Moderate,2024-11-25 09:31:43
Dadar,400,83.54,High,2024-11-25 09:31:48
Matunga,307,65.52,High,2024-11-25 09:31:53
Parel,992,39.79,Low,2024-11-25 09:31:58
Mahalaxmi,351,53.49,Moderate,2024-11-25 09:32:03
Versova,252,33.74,Low,2024-11-25 09:32:08
Khar,746,64.72,High,2024-11-25 09:32:13
Dadar,956,35.41,Moderate,2024-11-25 09:32:18
Bhayandar,781,62.9,Low,2024-11-25 09:32:23
Bhayandar,430,77.33,High,2024-11-25 09:32:28
Malad,54,42.0,High,2024-11-25 09:32:33
Parel,167,27.13,High,2024-11-25 09:32:38
Sion,861,45.29,Low,2024-11-25 09:32:43
Worli,783,59.44,Moderate,2024-11-25 09:32:48
Prabhadevi,513,25.99,High,2024-11-25 09:32:53
Khar,802,62.43,Moderate,2024-11-25 09:32:58
Vile Parle,379,33.68,Moderate,2024-11-25 09:33:03
Khar,684,53.25,Moderate,2024-11-25 09:33:08
Malad,516,82.75,Moderate,2024-11-25 09:33:13
Ghatkopar,100,67.9,Moderate,2024-11-25 09:33:18
Marine Drive,130,48.96,Moderate,2024-11-25 09:33:23
Matunga,179,97.97,Moderate,2024-11-25 09:33:28
Matunga,918,43.15,High,2024-11-25 09:33:33
Bhayandar,813,49.71,Moderate,2024-11-25 09:33:38
Bandra,301,95.2,Low,2024-11-25 09:33:43
Bandra,494,48.79,High,2024-11-25 09:33:48
Worli,494,63.83,Low,2024-11-25 09:33:53
Nariman Point,137,93.57,High,2024-11-25 09:33:58
Thane,110,25.04,High,2024-11-25 09:34:03
Ghatkopar,124,51.68,High,2024-11-25 09:34:08
Vashi,457,23.66,Low,2024-11-25 09:34:13
Andheri,534,71.18,High,2024-11-25 09:34:18
Borivali,526,97.17,High,2024-11-25 09:34:23
Sion,277,87.45,Low,2024-11-25 09:34:28
Khar,580,24.53,High,2024-11-25 09:34:33
Prabhadevi,636,95.43,Low,2024-11-25 09:34:38
Andheri,350,37.04,High,2024-11-25 09:34:43
Vashi,549,34.02,Low,2024-11-25 09:34:48
Vashi,477,65.31,Moderate,2024-11-25 09:34:53
Vile Parle,961,53.07,Moderate,2024-11-25 09:34:58
Bandra,380,63.75,Low,2024-11-25 09:35:03
Chembur,750,93.49,High,2024-11-25 09:35:08
Mulund,203,64.9,Moderate,2024-11-25 09:35:13
Sion,673,36.15,High,2024-11-25 09:35:18
Thane,982,66.34,Moderate,2024-11-25 09:35:23
Santacruz,679,86.16,High,2024-11-25 09:35:29
Ghatkopar,811,68.83,Low,2024-11-25 09:35:34
Mulund,537,39.38,High,2024-11-25 09:35:39
Ghatkopar,669,91.3,Low,2024-11-25 09:35:44
Vashi,178,68.05,Low,2024-11-25 09:35:49
Santacruz,851,73.23,Low,2024-11-25 09:35:54
Colaba,337,83.44,High,2024-11-25 09:35:59
Colaba,142,41.51,High,2024-11-25 09:36:04
Vashi,651,24.19,Low,2024-11-25 09:36:09
Ghatkopar,124,89.82,Moderate,2024-11-25 09:36:14
Parel,302,83.85,Moderate,2024-11-25 09:36:19
Vashi,678,79.08,Moderate,2024-11-25 09:36:24
Nariman Point,669,52.17,Low,2024-11-25 09:36:29
Borivali,686,32.45,High,2024-11-25 09:36:34
Chembur,865,71.07,Low,2024-11-25 09:36:39
Borivali,370,89.08,Low,2024-11-25 09:36:44
Kurla,197,78.27,High,2024-11-25 09:36:49
Bandra,373,91.36,High,2024-11-25 09:36:54
Vile Parle,919,71.52,Moderate,2024-11-25 09:36:59
Malad,773,40.05,High,2024-11-25 09:37:04
Marine Drive,673,39.07,High,2024-11-25 09:37:09
Prabhadevi,483,52.87,High,2024-11-25 09:37:14
Lower Parel,287,69.99,Low,2024-11-25 09:37:19
Chembur,895,53.73,Low,2024-11-25 09:37:24
Worli,759,62.69,High,2024-11-25 09:37:29
Santacruz,939,21.61,Low,2024-11-25 09:37:34
Kandivali,216,30.68,Moderate,2024-11-25 09:37:39
Thane,583,91.64,Low,2024-11-25 09:37:44
Kandivali,897,68.15,Moderate,2024-11-25 09:37:49
Borivali,846,64.46,Moderate,2024-11-25 09:37:54
Santacruz,289,36.37,High,2024-11-25 09:37:59
Thane,460,68.19,High,2024-11-25 09:38:04
Kandivali,769,32.88,High,2024-11-25 09:38:09
Worli,410,51.77,Low,2024-11-25 09:38:14
Andheri,697,80.24,Low,2024-11-25 09:38:19
Kandivali,629,38.39,Moderate,2024-11-25 09:38:24
Dahisar,151,27.47,High,2024-11-25 09:38:29
Mahalaxmi,413,73.62,High,2024-11-25 09:38:34
Chembur,775,82.52,Moderate,2024-11-25 09:38:39
Kurla,90,88.23,Moderate,2024-11-25 09:38:44
Vile Parle,135,88.95,High,2024-11-25 09:38:49
Dahisar,743,76.79,High,2024-11-25 09:38:54
Dahisar,432,53.81,Moderate,2024-11-25 09:38:59
Santacruz,917,75.21,Low,2024-11-25 09:39:04
Santacruz,127,61.49,Low,2024-11-25 09:39:09
Nariman Point,259,42.22,Low,2024-11-25 09:39:14
Kurla,176,87.98,Low,2024-11-25 09:39:19
Sion,755,63.39,Moderate,2024-11-25 09:39:24
Bhayandar,534,77.48,High,2024-11-25 09:39:29
Nariman Point,113,47.16,Low,2024-11-25 09:39:34
Bandra,930,72.92,Low,2024-11-25 09:39:40
Marine Drive,559,63.57,Low,2024-11-25 09:39:45
Mahalaxmi,122,25.43,Low,2024-11-25 09:39:50
Marine Drive,627,46.39,High,2024-11-25 09:39:55
Saki Naka,748,58.18,High,2024-11-25 09:40:00
Kandivali West,54,85.45,High,2024-11-25 09:40:05
Kurla,483,81.01,High,2024-11-25 09:40:10
Borivali,739,20.35,Low,2024-11-25 09:40:15
Thane,337,32.06,High,2024-11-25 09:40:20
Vashi,592,32.84,Low,2024-11-25 09:40:25
Prabhadevi,602,74.31,Low,2024-11-25 09:40:30
Khar,114,54.95,High,2024-11-25 09:40:35
Malad,251,77.4,Moderate,2024-11-25 09:40:40
Mahalaxmi,837,22.06,Low,2024-11-25 09:40:45
Kandivali West,173,37.34,Moderate,2024-11-25 09:40:50
Nariman Point,887,47.75,Moderate,2024-11-25 09:40:55
Colaba,746,78.41,High,2024-11-25 09:41:00
Mahalaxmi,716,60.6,High,2024-11-25 09:41:05
Dahisar,493,22.22,High,2024-11-25 09:41:10
Ghatkopar,998,94.02,High,2024-11-25 09:41:15
Kandivali West,90,91.63,Moderate,2024-11-25 09:41:20
Colaba,119,80.32,Low,2024-11-25 09:41:25
Mulund,85,99.44,High,2024-11-25 09:41:30
Santacruz,933,85.46,High,2024-11-25 09:41:35
Kandivali West,203,33.3,Low,2024-11-25 09:41:40
Dadar,948,26.53,Moderate,2024-11-25 09:41:45
Jogeshwari,221,60.05,High,2024-11-25 09:41:51
Prabhadevi,931,80.94,Moderate,2024-11-25 09:41:56
Andheri,279,73.26,High,2024-11-25 09:42:01
Jogeshwari,400,92.58,High,2024-11-25 09:42:06
Borivali,376,70.52,Low,2024-11-25 09:42:11
Ghatkopar,749,23.53,Low,2024-11-25 09:42:16
Borivali,769,40.23,Moderate,2024-11-25 09:42:21
Saki Naka,818,62.24,Low,2024-11-25 09:42:26
Andheri,779,34.53,Low,2024-11-25 09:42:31
Ghatkopar,618,80.28,High,2024-11-25 09:42:36
Khar,138,55.19,Low,2024-11-25 09:42:41
Andheri,101,21.1,Low,2024-11-25 09:42:46
Kandivali West,989,67.57,Moderate,2024-11-25 09:42:51
Versova,846,21.12,Low,2024-11-25 09:42:56
Thane,867,64.93,High,2024-11-25 09:43:01
Colaba,877,52.53,Moderate,2024-11-25 09:43:06
Saki Naka,521,97.9,High,2024-11-25 09:43:11
Ghatkopar,293,27.36,High,2024-11-25 09:43:17
Santacruz,445,21.04,Low,2024-11-25 09:43:22
Worli,100,69.87,High,2024-11-25 09:43:27
Jogeshwari,551,78.28,Low,2024-11-25 09:43:32
Bandra,840,93.35,Low,2024-11-25 09:43:37
Jogeshwari,187,91.68,High,2024-11-25 09:43:42
Vile Parle,129,49.51,High,2024-11-25 09:43:47
Malad,805,58.91,Moderate,2024-11-25 09:43:52
Worli,321,33.04,High,2024-11-25 09:43:57
Sion,345,77.49,Low,2024-11-25 09:44:02
Vashi,340,85.56,Low,2024-11-25 09:44:07
Versova,753,85.55,High,2024-11-25 09:44:12
Versova,593,20.06,Moderate,2024-11-25 09:44:17
Kandivali East,698,98.68,Low,2024-11-25 09:44:22
Andheri,778,73.4,High,2024-11-25 09:44:27
Ghatkopar,815,44.96,High,2024-11-25 09:44:32
Vashi,563,97.55,Moderate,2024-11-25 09:44:37
Worli,751,93.3,High,2024-11-25 09:44:42
Versova,573,78.84,High,2024-11-25 09:44:47
Khar,209,74.23,Moderate,2024-11-25 09:44:52
Saki Naka,946,45.07,Low,2024-11-25 09:44:57
Chembur,182,58.24,Low,2024-11-25 09:45:02
Dahisar,637,50.7,Low,2024-11-25 09:45:07
Dadar,179,61.04,Low,2024-11-25 09:45:12
Santacruz,998,29.29,Moderate,2024-11-25 09:45:17
Prabhadevi,631,66.18,High,2024-11-25 09:45:23
Thane,904,68.86,Moderate,2024-11-25 09:45:28
Kandivali East,61,58.37,High,2024-11-25 09:45:33
Kurla,604,55.3,Moderate,2024-11-25 09:45:38
Kandivali East,405,91.04,High,2024-11-25 09:45:43
